Bird Female Adult Survive Length Alar Weight SkullLen Humerus Femur TibTars SkullWid Sternum
69   1 NA 1 153 238 24.2 30.5 0.715 0.707 1.116 0.595 0.821
70   1 NA 1 155 236 24.2 30.3 0.727 0.705 1.120 0.585 0.790
71   1 NA 1 163 246 27.4 32.5 0.732 0.711 1.163 0.630 0.862
72   1 NA 1 159 236 24.0 31.5 0.709 0.713 1.129 0.607 0.845
 1   0  1 0 165 249 26.5 31.0 0.738 0.704 1.095 0.606 0.847
 2   0  1 0 160 245 26.1 32.0 0.736 0.709 1.109 0.611 0.842
 3   0  1 0 161 249 25.6 32.3 0.743 0.718 1.128 0.602 0.828
 4   0  1 0 162 246 25.9 32.3 0.738 0.709 1.135 0.607 0.869
 5   0  1 0 163 250 25.5 32.5 0.752 0.731 1.197 0.623 0.888
 6   0  1 0 162 247 27.6 31.8 0.731 0.719 1.113 0.597 0.869
 7   0  1 0 163 246 25.8 31.4 0.689 0.662 1.073 0.604 0.836
 8   0  1 0 161 246 24.9 30.5 0.739 0.726 1.138 0.580 0.803
 9   0  1 0 160 242 26.0 31.0 0.745 0.713 1.105 0.600 0.803
10   0  1 0 162 246 26.5 31.5 0.720 0.696 1.092 0.606 0.809
11   0  1 0 160 249 26.0 31.4 0.726 0.689 1.097 0.602 0.850
12   0  1 0 161 250 27.1 31.6 0.737 0.711 1.120 0.631 0.852
13   0  1 0 162 248 25.1 31.9 0.744 0.722 1.154 0.591 0.839
14   0  1 0 165 252 26.0 32.3 0.726 0.710 1.145 0.609 0.887
15   0  1 0 161 243 25.6 32.5 0.709 0.707 1.122 0.607 0.832
16   0  1 0 161 244 25.0 31.3 0.702 0.685 1.082 0.595 0.874
17   0  1 0 162 248 24.6 31.0 0.713 0.700 1.086 0.590 0.837
18   0  1 0 164 244 25.0 31.2 0.703 0.690 1.074 0.608 0.795
19   0  1 0 158 247 26.0 32.0 0.729 0.710 1.145 0.607 0.803
20   0  1 0 162 253 28.3 31.8 0.752 0.718 1.152 0.600 0.857
21   0  1 0 156 239 24.6 30.5 0.659 0.658 1.042 0.570 0.810
22   0  1 0 166 251 27.5 31.5 0.720 0.691 1.118 0.612 0.847
23   0  1 0 165 253 31.0 32.4 0.765 0.750 1.183 0.613 0.905
24   0  1 0 166 250 28.3 32.4 0.754 0.718 1.179 0.607 0.916
25   0  0 0 160 249 24.2 30.4 0.740 0.717 1.130 0.620 0.840
26   0  0 0 156 236 26.8 30.0 0.690 0.671 1.067 0.563 0.832
27   0  0 0 158 240 23.5 31.0 0.715 0.702 1.113 0.595 0.805
28   0  0 0 166 245 26.9 31.7 0.715 0.695 1.107 0.604 0.847
29   0  0 0 165 255 28.6 31.5 0.766 0.744 1.175 0.613 0.854
30   0  0 0 157 238 24.7 31.2 0.680 0.677 1.156 0.599 0.769
31   0  0 0 164 250 27.3 31.8 0.764 0.726 1.171 0.588 0.860
32   0  0 0 166 256 25.7 31.7 0.752 0.751 1.187 0.595 0.858
33   0  0 0 167 255 29.0 32.2 0.765 0.745 1.197 0.638 0.855
34   0  0 0 161 246 25.0 31.5 0.739 0.707 1.123 0.587 0.850
35   0  0 0 166 254 27.5 31.4 0.760 0.742 1.124 0.604 0.914
36   0  0 0 161 251 26.0 31.5 0.731 0.707 1.122 0.589 0.828
37   1 NA 0 155 240 26.3 31.4 0.709 0.710 1.123 0.614 0.815
38   1 NA 0 156 240 25.8 31.5 0.715 0.678 1.127 0.597 0.812
39   1 NA 0 160 242 26.0 32.6 0.740 0.732 1.157 0.597 0.854
40   1 NA 0 152 232 23.2 30.3 0.676 0.683 1.048 0.590 0.780
41   1 NA 0 160 250 26.5 31.7 0.741 0.731 1.187 0.615 0.886
42   1 NA 0 155 237 24.2 31.0 0.727 0.723 1.118 0.610 0.787
43   1 NA 0 157 245 26.9 32.2 0.766 0.751 1.227 0.620 0.841
44   1 NA 0 165 245 27.7 33.1 0.780 0.757 1.195 0.633 0.865
45   1 NA 0 153 231 23.9 30.1 0.680 0.662 1.042 0.592 0.781
46   1 NA 0 162 239 26.1 30.3 0.709 0.685 1.092 0.587 0.911
47   1 NA 0 162 243 24.6 31.6 0.741 0.729 1.162 0.605 0.840
48   1 NA 0 159 245 23.6 31.8 0.727 0.700 1.129 0.610 0.855
49   1 NA 0 159 247 26.0 30.9 0.711 0.666 1.098 0.580 0.749
50   1 NA 0 155 243 25.0 30.9 0.730 0.711 1.127 0.598 0.839
51   1 NA 0 162 252 24.8 31.9 0.752 0.738 1.180 0.615 0.875
52   1 NA 0 152 230 22.8 30.4 0.682 0.664 1.042 0.551 0.734
53   1 NA 0 159 242 24.8 30.8 0.717 0.667 1.090 0.575 0.809
54   1 NA 0 155 238 24.6 31.2 0.706 0.702 1.102 0.588 0.758
55   1 NA 0 163 249 30.5 33.4 0.767 0.767 1.207 0.640 0.896
56   1 NA 0 163 242 24.8 31.0 0.713 0.713 1.128 0.607 0.813
57   1 NA 0 156 237 23.9 31.7 0.718 0.716 1.090 0.611 0.800
58   1 NA 0 159 238 24.7 31.5 0.726 0.701 1.145 0.600 0.800
59   1 NA 0 161 245 26.9 32.1 0.751 0.704 1.142 0.607 0.819
60   1 NA 0 155 235 22.6 30.7 0.695 0.692 1.119 0.584 0.771
61   1 NA 0 162 247 26.1 31.9 0.751 0.735 1.157 0.618 0.802
62   1 NA 0 153 237 24.8 30.6 0.732 0.718 1.172 0.594 0.802
63   1 NA 0 162 245 26.2 32.5 0.728 0.731 1.102 0.614 0.832
64   1 NA 0 164 248 26.1 32.3 0.739 0.707 1.159 0.592 0.823
